name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;278;0;349;3149;1640;3149;1380;0
header;235;184;235;221;1858;221;1858;184
A;1036;244;1036;272;1061;272;1061;244
A;1383;613;1383;637;1397;637;1397;613
B;1038;918;1038;946;1061;946;1061;918
B;1206;1078;1206;1096;1216;1096;1216;1078
B;964;1165;964;1185;978;1185;978;1165
A;1129;1397;1129;1404;1136;1404;1136;1397
C;1038;1589;1038;1617;1059;1617;1059;1589
B;1392;1629;1392;1645;1400;1645;1400;1629
A;320;1842;320;1842;320;1842;320;1842
A;835;1983;835;1985;838;1985;838;1983
A;1354;2167;1354;2168;1354;2168;1354;2167
D;1041;2260;1041;2289;1064;2289;1064;2260
A;1236;2725;1236;2751;1252;2751;1252;2725
