name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1407;0;1853;3285;1865;3285;2057;0
header;115;1716;115;1736;1812;1736;1812;1716
C;1993;825;1993;847;2013;847;2013;825
A;1959;924;1959;928;1960;928;1960;924
A;1921;1057;1921;1060;1921;1060;1921;1057
A;1929;1058;1929;1062;1930;1062;1930;1058
D;1941;1090;1941;1114;1957;1114;1957;1090
A;1921;1109;1921;1109;1921;1109;1921;1109
A;1914;1185;1914;1201;1919;1201;1919;1185
A;1906;1185;1906;1201;1909;1201;1909;1185
A;1889;1192;1889;1192;1889;1192;1889;1192
A;1884;1316;1884;1336;1890;1336;1890;1316
D;1895;1317;1895;1338;1919;1338;1919;1317
A;1858;1322;1858;1324;1858;1324;1858;1322
A;1913;1367;1913;1387;1929;1387;1929;1367
A;1962;1485;1962;1485;1962;1485;1962;1485
A;1829;1486;1829;1511;1836;1511;1836;1486
D;1852;1496;1852;1515;1869;1515;1869;1496
A;1943;1541;1943;1544;1948;1544;1948;1541
A;1769;1586;1769;1596;1770;1596;1770;1586
A;1751;1632;1751;1637;1753;1637;1753;1632
A;1873;1702;1873;1702;1876;1702;1876;1702
A;1829;1738;1829;1740;1832;1740;1832;1738
A;1697;1767;1697;1767;1697;1767;1697;1767
B;1939;1773;1939;1794;1953;1794;1953;1773
A;1685;1814;1685;1815;1685;1815;1685;1814
A;1698;1816;1698;1821;1702;1821;1702;1816
A;1884;1839;1884;1839;1884;1839;1884;1839
A;1808;1879;1808;1880;1809;1880;1809;1879
A;1818;1880;1818;1880;1820;1880;1820;1880
D;1665;1893;1665;1909;1681;1909;1681;1893
A;1809;1924;1809;1924;1810;1924;1810;1924
A;1769;1924;1769;1925;1769;1925;1769;1924
A;1863;2019;1863;2020;1866;2020;1866;2019
A;1852;2043;1852;2045;1853;2045;1853;2043
A;1838;2075;1838;2075;1838;2075;1838;2075
A;1910;2076;1910;2076;1910;2076;1910;2076
A;1819;2115;1819;2115;1819;2115;1819;2115
A;1795;2117;1795;2117;1796;2117;1796;2117
A;1733;2120;1733;2121;1735;2121;1735;2120
A;1803;2155;1803;2156;1805;2156;1805;2155
A;1753;2243;1753;2243;1755;2243;1755;2243
A;1888;2250;1888;2250;1888;2250;1888;2250
A;1904;2255;1904;2255;1905;2255;1905;2255
A;1819;2274;1819;2274;1819;2274;1819;2274
A;1784;2287;1784;2287;1784;2287;1784;2287
A;1756;2329;1756;2329;1758;2329;1758;2329
A;1760;2436;1760;2436;1760;2436;1760;2436
A;1909;2477;1909;2477;1909;2477;1909;2477
A;1877;2576;1877;2576;1877;2576;1877;2576
A;1871;2582;1871;2582;1871;2582;1871;2582
A;1810;2587;1810;2595;1815;2595;1815;2587
A;1866;2594;1866;2599;1868;2599;1868;2594
A;1803;2599;1803;2599;1803;2599;1803;2599
A;1850;2604;1850;2605;1852;2605;1852;2604
A;1822;2623;1822;2623;1822;2623;1822;2623
A;1773;2627;1773;2627;1776;2627;1776;2627
A;1896;2636;1896;2653;1906;2653;1906;2636
A;1789;2641;1789;2641;1789;2641;1789;2641
A;1868;2654;1868;2654;1868;2654;1868;2654
A;1768;2661;1768;2664;1770;2664;1770;2661
A;1781;2716;1781;2717;1782;2717;1782;2716
A;1854;2735;1854;2736;1854;2736;1854;2735
A;1783;2764;1783;2764;1784;2764;1784;2764
A;1867;2769;1867;2772;1869;2772;1869;2769
A;1794;2770;1794;2771;1795;2771;1795;2770
A;1786;2778;1786;2779;1789;2779;1789;2778
A;1808;2788;1808;2789;1810;2789;1810;2788
A;1845;2788;1845;2789;1847;2789;1847;2788
A;1826;3000;1826;3000;1826;3000;1826;3000
A;1833;3112;1833;3113;1835;3113;1835;3112
